ID,Actor_ID,Actor_Name,Brief_Description_of_Movie,Movie_Name,Movie_Release_Year
89,2,Alice Joyce,"Small-town girl Stella marries socialite Stephen Dallas, a man with whom she has nothing in common. ",Stella Dallas,1925
90,2,Alice Joyce,A wonderfully sensitive and sympathetic film about two good people trapped by society into roles that don't suit them.,The Home Maker,1925
91,2,Alice Joyce,"Dim-witted nursemaid Annie Pogani, who loves children, steals a baby girl from Selene Herrick, a wealthy woman who cares more for auctions than for family. ",Mannequin,1926
92,2,Alice Joyce,"An unfaithful husband and his daughter go on nightly club outings, leaving the mother at home. The mother rebels against her lonesome life and attempts to prevent a man from pursuing her daughter.",Dancing Mothers,1926
93,2,Alice Joyce,"Michael ""Beau"" Geste leaves England in disgrace and joins the infamous French Foreign Legion. He is reunited with his two brothers in North Africa, where they face greater danger from their own sadistic commander than from the rebellious Arabs.",Beau Geste,1926
94,2,Alice Joyce,An officer in the British Guards takes to drink when a friend and fellow officer convinces the woman they both love that he has another woman.,The Ace of Cads,1926
95,2,Alice Joyce,"A princess helps a meek, downtrodden man win respect from the bullies who torment him.",So's Your Old Man,1926
96,2,Alice Joyce,"Stephen Sorrell, a decorated war hero, raises his son Kit alone after Kit's mother deserts husband and child in the boy's infancy.",Sorrell and Son,1927
97,2,Alice Joyce,"A leader of New York society leaves her ship bound for Europe ,in disguise as a maid, to prevent her son's marrying into a lower class.",13 Washington Square,1928
98,2,Alice Joyce, A crook blackmails a governor because he knows of the governor's wife's dark past.,The Noose,1928
99,2,Alice Joyce,A major and his wife return from abroad and pose as servants to observe their adolescent children.,The Rising Generation,1928
100,2,Alice Joyce,A gypsy woman applies her feminine charms to the male members of a farmhouse where she takes refuge during a storm.,The Squall,1929
101,2,Alice Joyce,An airplane carrying three Brits crash lands in the kingdom of Rukh. The Rajah holds them prisoner because the British are about to execute his three half-brothers in neighboring India.,The Green Goddess,1930
102,2,Alice Joyce,A semi-retired tenor moves close to his long lost love who has been abandoned by her husband.,Song o' My Heart,1930
103,2,Alice Joyce,A rich man's (David Manners) poor girlfriend loves a writer (Lowell Sherman) kept by a rich widow (Alice Joyce).,He Knew Women,1930
104,3,Alice Terry,"Count Ferdinand, a submarine commander and secret pacifist refuses to torpedo a defenseless passenger ship during wartime. His submarine is sunk in the following fracas.",Civilization,1916
105,3,Alice Terry,Widow Catherine Winship cherishes the memory of her late husband so greatly that she has given up her life to the adoration of his memory. ,Wild Winship's Widow,1917
106,3,Alice Terry,"Bernice Bristol Flint, an attractive grass widow (a woman divorced or separated from her husband), associates herself intimately with a number of divorce attorneys who live well on their percentage from unscrupulously secured divorces carrying a large alimony.",Alimony,1917
107,3,Alice Terry,"The film follows Charles Murdock, who becomes estranged from his wife and becomes involved with another woman, leading to complications when his new love is implicated in a murder, prompting him to flee to Paris. ",Old Wives for New,1918
108,3,Alice Terry,"A young man infiltrates the underworld by pretending to be a convicted burglar. While undercover, he meets a young woman who turns out to be no more a part of gangland than he, but with similar reasons for disguising herself.",The Love Burglar,1919
109,3,Alice Terry,Rival logging companies battle for the Valley of the Giants (redwood trees) when a young engineer returns home to help his father by building a new rail line to transport the logs to the sawmill.,The Valley of the Giants,1919
110,3,Alice Terry,"Manhattan model Marion Buckley hesitates to accept a marriage proposal from wealthy upstate department store owner Warren Rogers, a widower with two daughters, because of her previous affair with her employer Leon Kessler, who had promised to marry her.",The Day She Paid,1919
111,3,Alice Terry,"In early-20th-century Argentina, Marcelo Desnoyers and German Karl von Hartrott are the two sons-in-law of well-off Argentine farm owner Don Julio Madariaga; Desnoyers is the favored one.",The Four Horsemen of the Apocalypse,1921
112,3,Alice Terry," In this silent film, a young man falls for his wicked uncle's stepdaughter.",The Conquering Power,1921
113,3,Alice Terry,Joe is the son of a poor widow and in love with the daughter of the town’s richest and meanest man. The couple is determined to marry and plan their “dream house.”,Turn to the Right,1922
114,3,Alice Terry,"A kingdom's ascending heir, marked for assassination, switches identities with a lookalike, who takes his place at the coronation. ",The Prisoner of Zenda,1922
115,3,Alice Terry,"South Seas romantic drama. This is a lost Silent film, that no negative of or print materials from are known to exist.",Where the Pavement Ends,1923
116,3,Alice Terry,"With the authorities looking for him in the France of Louis XVI, Novarro takes refuge in a troupe of strolling players and plays the famous clown character Scaramouche. ",Scaramouche,1923
117,3,Alice Terry,"Jamil (Ramon Novarro) is a soldier in the Bedouin defence forces during a war between Syria and Turkey, who has deserted his regiment.",The Arab,1924
118,3,Alice Terry,"Alone and unprotected in an isolated wilderness cabin, Ruth Jordan is discovered by three drunken brutes who begin to barter for her.",The Great Divide,1925
119,3,Alice Terry,Sackcloth and Scarlet (1925) Polly Freeman spends the night with farmer Stephen Edwards. She then returns home and confesses everything to her sister Joan. ,Sackcloth and Scarlet,1925
120,3,Alice Terry,"Prince Alexei, the king's cousin, entertains Frederika, and the two become greatly attracted to each other. ",Confessions of a Queen,1925
121,3,Alice Terry,"When Ellen Linden comes back home from finishing school, she finds out that her wealthy father has lost all his money.",Any Woman,1925
122,3,Alice Terry,The story of a female German spy who willingly sacrifices her life for her country.,Mare Nostrum,1926
123,3,Alice Terry,"A young woman, Margaret Dauncey, is caught between the forces of a charlatan magician, Oliver Haddo, whom she is unable to resist, and the love of a handsome surgeon, Arthur Burdon.",The Magician,1926
124,3,Alice Terry,"Young José lives with his guardian, Don Julian, a middle-aged diplomat recently married to young Felicia. Society gossips in Madrid find the situation increasingly scandalous.",Lovers,1927
125,3,Alice Terry,"Father Adrien had taken the vows of eternal silence, prayer and, of course, celibacy, when he entered the Trappist Monastry of Notre Dame d'Afrique in Algeria. ",The Garden of Allah,1927
126,3,Alice Terry,A Lord's son aids a seaman's mission but returns to save his sick father's shipyard from strikers.,The Three Passions,1928
127,3,Alice Terry,"English-language version of Baroud, sometimes referred to as Love in Morocco. 'A sergeant in the Foreign Legion falls in love with Zinah, the daughter of a Berber chief.' ",Baroud,1932
3072,4,Geraldine Farrar,"Hot-blooded gypsy Carmen attempts to seduce Don Jose, a lawman sent to thwart a gang of illegal smugglers in Spain.",Carmen,1915
3073,4,Geraldine Farrar,Opera singer Renee Dupree is in love with struggling composer Julian who falls very seriously ill. ,Temptation,1915
3074,4,Geraldine Farrar,"Ramon loves Catalonian peasant Maria Rosa. He uses a knife belonging to her love Andreas to kill fisherman Pedro, so Andreas goes to jail for ten years.",Maria Rosa,1916
3075,4,Geraldine Farrar,A vision of Joan of Arc inspires an English officer facing a risky mission.,Joan the Woman,1916
3076,4,Geraldine Farrar,Miss Farrar plays a haughty Aztec princess in the time when the Spanish invaded and conquered Mexico.,The Woman God Forgot,1917
3077,4,Geraldine Farrar, Fishermaid Marcia Manot finds an emerald which once belonged to a Norse queen and is cursed.,The Devil Stone,1917
3078,4,Geraldine Farrar,"Rosalie Dean loves Maxfield Grey, who has been accused of murdering his wife.",The Turn of the Wheel,1918
3079,4,Geraldine Farrar,"Pancha O'Brien, the beautiful and spirited daughter of an Irish ranch owner, is loved by two men, Sheriff Jack Webb, whom she loves, and outlaw Jim Dyke.",The Hell Cat,1918
3080,4,Geraldine Farrar,A woman of Spain finds herself torn between two vows: her marriage vow and her vow to kill the man who murdered her brother. ,The Stronger Vow,1919
3081,4,Geraldine Farrar,"A Russian peasant girl rises to fame as an operatic diva. She becomes beloved of a Russian prince. When the 1917 revolution overthrows the czar's government, the pair attempts to cross the icy steppes and find their way to America.",The World and Its Woman,1919
3082,4,Geraldine Farrar,An Englishman goes undercover posing as an Egyptian sheik in order to infiltrate a conspiracy to throw off British rule. ,Flame of the Desert,1919
3083,4,Geraldine Farrar,"Lilla Gravert falls into the clutches of a master blackmailer, Eric Helsingor.",The Riddle: Woman,1920
3084,4,Geraldine Farrar,"A fog prevents a group of music-hall artistes from reaching the theatre in time for the show forcing the stage manager to bring the buskers in from the queues outside, and turn the performance into ""Amateur Night"".",Amateur Night,1946
3085,4,Geraldine Farrar,"In 1948, CBS hired Sullivan to host its first variety show endeavor, a new format that combined vaudeville with television and was nicknamed “vaudeo.” ",The Ed Sullivan Show,1948
128,5,Alice White,"Silent Film drama...now a lost film. Julian Ramos is a fisherman in the Canary Islands. As the guardian of his hotheaded younger brother Charles, Julian regards it as his duty to protect the boy from women -- and vice versa.",The Sea Tiger,1927
129,5,Alice White,"As George drives down Fifth Avenue, he meets Mae, an attractive widow whose apparent loneliness and sympathy for Taylor bring them together. ",The Satin Woman,1927
130,5,Alice White,"Billie Dove stars as Millicent Howard, a great beauty who chooses to give up her chance at wealth to marry a poor man she really loves.",American Beauty,1927
131,5,Alice White,"While plotting together to win back their lovers, the rich Madeleine and the penniless Pierre fall for each other.",Breakfast at Sunrise,1927
132,5,Alice White,"Setting the standard for his later light-hearted biopics The Private Life of Henry VIII and Rembrandt, producer-director Alexander Korda steadfastly refuses to take any of The Private Life of Helen of Troy seriously. ",The Private Life of Helen of Troy,1927
133,5,Alice White,Gold digging blonde Lorelei and her brunette friend Dorothy are searching for rich husbands.,Gentlemen Prefer Blondes,1928
134,5,Alice White,"Mad Hour is a 1928 American silent drama film directed by Joseph Boyle and starring Sally O'Neil, Alice White and Donald Reed. It was adapted from a novel by Elinor Glyn.",Mad Hour,1928
135,5,Alice White,"A guard in a New York subway thinks that Philip Hurd, who owns a concession at Coney Island, would make a good husband for his daughter Sophie.",The Big Noise,1928
136,5,Alice White,"Farmboy Harold moves to the city and there attends high school. Soon he is very popular, his spirited nature causing much excitement on the campus.",Harold Teen,1928
137,5,Alice White,"Anna runs away from her wealthy father's ranch and becomes a trick rider in a circus to be with her sweetheart, Cal Coney, a circus cowboy.",3-Ring Marriage,1928
138,5,Alice White,An aspiring dancer fakes her own kidnapping as a publicity stunt. Her new found fame causes trouble with her boyfriend.,Show Girl,1928
139,5,Alice White,Hollywood actresses including Jeanette Loff and Raquel Torres modeling Spring fashions in color.,Fashion News,1928
140,5,Alice White,"At a New York luxury hotel, Rosie is a hatcheck girl who aspires for the attentions of a wealthy young man who resides there, Terry Vandeveer.",Naughty Baby,1928
141,5,Alice White,An uptight society aunt (Louise Fazenda) sends her too sexy niece (Alice White) to college so she can land a man. ,Hot Stuff,1929
142,5,Alice White,"Dee is a naive chorus girl living in a boarding house full of low-paid actors. Dee and Billy are in love and he helps her to move from chorus girl to star. Things run afoul when jealousy, misunderstandings and sleazy men enter the picture.",Broadway Babies,1929
143,5,Alice White,"Daisy, a clerk at Woolworth's, loves to sing. She meets Bill, a guard on the subway, at a party and they're both attracted to each other, but each tells the other that they have a different job than they actually do.",The Girl from Woolworth's,1929
144,5,Alice White,"1929 audiences a chance to see and hear multiple silent-screen favorites for the first time in a gaudy, grandiose music-comedy-novelty revue.",Show of Shows,1929
145,5,Alice White,New York girl has a dull boyfriend and seems destined for a dull marriage when she meets a rich playboy who has money to burn and places to go.,Playing Around,1930
146,5,Alice White,"Broadway actress leaves New York to become a star in Hollywood, and succeeds despite sleazy directors and her own ego.",Show Girl in Hollywood,1930
147,5,Alice White,A young girl falls in love with a member of a gang of crooks. She determines to bring the rest of the gang to justice so she can save the man she loves.,Sweet Mama,1930
148,5,Alice White,Helen and Nita work in a department store to make ends meet while they search for millionaire husbands. ,Sweethearts on Parade,1930
149,5,Alice White,A woman infiltrates a criminal mob to avenge her brother's death.,The Widow from Chicago,1930
150,5,Alice White,A spoiled heiress leaves her boyfriend only to become involved with a man who secretly desires her money.,The Naughty Flirt,1930
151,5,Alice White,A murder during a game of charades at a society party leads the police to begin the hunt through the guest list for a motive and culprit.,Murder at Midnight,1931
152,5,Alice White,An obsessed husband gets himself appointed as the ship's doctor on a cross-Atlantic luxury liner in order to confront her and the millionaire.,Luxury Liner,1933
153,5,Alice White,Kurt Anderson is the tyrannical manager of a New York department store in financial straits. He thinks nothing of firing an employee of more than 20 years or of toying with the affections of every woman he meets. ,Employees' Entrance,1933
154,5,Alice White,"A former inmate pursues photography and romance with Patricia, whose father initially disapproves.",Picture Snatcher,1933
155,5,Alice White,A prizefighter is convicted of a murder that was actually committed by his sister.,King for a Night,1933
156,5,Alice White,"A young woman is involved with a married man, although she does not know that he is married. He kills his jealous wife and implicates her in the murder.",Cross Country Cruise,1934
157,5,Alice White,Jimmy Cagney is a scenery-chewing delight as a racketeer who profits by taking a cut from the heirs of unclaimed fortunes.,Jimmy the Gent,1934
158,5,Alice White,"Well respected local good guy, Feet Samuels finds himself heavily in debt due to an uncharacteristic gambling binge.",A Very Honorable Guy,1934
159,5,Alice White,"Pretty poor comedy with Edmund Lowe as Phillip ""Gift of Gab"" Gabney, a radio talker who is just too full of himself. ",Gift of Gab,1934
160,5,Alice White,This promotional film shows the first frolic from the Screen Actors Guild.,The Hollywood Gad-About,1934
161,5,Alice White,The beautiful Claire Dodd plays Julie Verlaine - a book thief who has just been released from serving six months in jail. ,Secret of the Chateau,1934
1,1,Alice Brady,"A man rises from rags to riches, first by boxing, then as a saloon owner, freight contractor, and eventually dockyard boss. However, the man's brother-in-law complicates things with his dockworker union activism. The film is presumed lost.",The Boss,1915
